family, repo
base16, https://github.com/bswinnerton/base16-zed
catppuccin, https://github.com/catppuccin/zed
colorizer, https://github.com/tamimhasandev/colorizer
dracula, https://github.com/dracula/zed
everforest, https://github.com/ThomasAlban/everforest-zed
graphene, https://github.com/adinack/graphene
kanagawa, https://github.com/ethangilmore/zed-kanagawa
nanowise, https://github.com/Fastiraz/nanowise
new_darcula, https://github.com/e-simpson/new-darcula-z
night_owl, https://github.com/elGusto/night-owlz
nightfox, https://github.com/ssaunderss/zed-nightfox
one_dark_pro, https://github.com/mordfustang21/zed-one-dark-pro
rose_pine, https://github.com/rose-pine/zed
smooth, https://github.com/segersniels/zed-smooth
smooth, https://github.com/segersniels/zed-smooth
synthwave_84, https://github.com/DanielMSchmidt/zed-synthwave.git
the_dark_side, https://github.com/Imgkl/the-dark-side
tokyo_night, https://github.com/ssaunderss/zed-tokyo-night
ultimate_dark_neo, https://github.com/rubjo/ultimate-dark-neo-zed
vitesse, https://github.com/d1y/vitesse.zed
vscode_dark_modern, https://github.com/kcamcam/vscode_dark_modern.zed
vscode_dark_plus, https://github.com/d1y/vscode_dark_plus.zed
xy, https://github.com/zarifpour/xy-zed
zed, https://github.com/zed-industries/zed
zedokai, https://github.com/slymax/zedokai
